Transaction ID,Amount,Reference Number,Date,Description,Category
TXN001,1500.00,REF001,2024-01-15,Payment for services,Services
TXN002,2300.50,REF002,2024-01-16,Product purchase,Products
TXN003,750.25,REF003,2024-01-17,Subscription fee,Subscriptions
TXN004,1200.00,REF004,2024-01-18,Consulting services,Services
TXN005,890.75,REF005,2024-01-19,Software license,Software
TXN006,3400.00,REF006,2024-01-20,Equipment purchase,Equipment
TXN007,567.30,REF007,2024-01-21,Monthly subscription,Subscriptions
TXN008,1799.50,REF008,2024-01-22,Training services (slight variance),Services
TXN015,999.99,REF015,2024-01-29,System only transaction,Services
TXN016,1250.00,REF016,2024-01-30,Another system transaction,Products